대분류,중분류,Custom,EN,소분류,1회제공량(g),칼로리(kcal),kcal per g,folder_name,class,탄수화물,단백질,지방,당 (총당류),,,,,
"국,탕,찌개류",기타,국류,stew,돼지고기김치찌개,200,90.91,0.45,04019001,04,2.7,8.49,5.41,0.09,,,,,
"국,탕,찌개류",기타,국류,stew,버섯찌개,400,167.56,0.42,04019002,04,15.4,14.7,5.2,4.4,,,,,
"국,탕,찌개류",기타,국류,stew,참치김치찌개,300,154.06,0.51,04019003,04,8.7,10.76,8.47,0.45,,,,,
"국,탕,찌개류",기타,국류,stew,순두부찌개,200,85.54,0.43,04019004,04,2.61,9.06,4.32,1.19,,,,,
"국,탕,찌개류",기타,국류,stew,콩비지찌개,400,275.73,0.69,04019005,04,14.27,26.95,12.32,12.98,,,,,
"국,탕,찌개류",기타,국류,stew,햄김치찌개,300,189,0.63,04019006,04,12.7,11.1,10.4,3.6,,,,,
"국,탕,찌개류",기타,국류,stew,호박찌개,300,95,0.32,04019007,04,12.2,5.6,2.6,5.8,,,,,
"국,탕,찌개류",기타,국류,stew,고추장찌개,500,261.81,0.52,04019008,04,15.88,20.04,13.13,4,,,,,
찜류,어패류찜,어패류,seafood,대구찜,500,376.42,0.75,05011001,05,24.7,51.7,7.9,5.7,,,,,
찜류,어패류찜,어패류,seafood,도미찜,100,125.51,1.26,05011002,05,0.54,23,3.48,0,,,,,
찜류,어패류찜,어패류,seafood,문어숙회,80,66.91,0.84,05011004,05,0.73,14.86,0.5,0,,,,,
찜류,어패류찜,어패류,seafood,아귀찜,200,168.18,0.84,05011008,05,14.52,13.44,6.26,5.46,,,,,
찜류,어패류찜,어패류,seafood,조기찜,100,182.12,1.82,05011010,05,1.64,20.06,10.59,0,,,,,
찜류,어패류찜,어패류,seafood,참꼬막,80,90.79,1.13,05011011,05,4.59,12.47,2.5,0,,,,,
찜류,어패류찜,어패류,seafood,해물찜,500,400.08,0.8,05011012,05,35.40,42.6,9.8,5.5,,,,,
찜류,육류찜,육류,meat,소갈비찜,250,494.6,1.98,05012001,05,15.00,10,9.5,10,,,,,
찜류,육류찜,육류,meat,돼지갈비찜,300,581.39,1.94,05012002,05,22.33,39.86,36.96,0.39,,,,,
찜류,육류찜,육류,meat,돼지고기수육,300,936.89,3.12,05012003,05,7.05,59.65,74.46,7.21,,,,,
찜류,육류찜,육류,meat,찜닭,1500,"1,364.21",0.91,05012004,05,174.00,162,81,66,,,,,
찜류,육류찜,육류,meat,족발,250,582.68,2.33,05012005,05,2.32,65.09,34.78,0,,,,,
찜류,기타찜,육류,meat,달걀찜,200,209.74,1.05,05013001,05,7.59,16.45,12.62,5.09,,,,,
구이류,육류구이,육류,meat,닭갈비,400,595.61,1.49,06012001,06,44.9,45.9,25.8,21.2,,,,,
구이류,육류구이,육류,meat,닭꼬치,70,176.72,2.52,06012002,06,13.4,11.6,8.5,0,,,,,
구이류,육류구이,육류,meat,돼지갈비,100,240.32,2.4,06012003,06,8.1,19.5,14.4,4.5,,,,,
구이류,육류구이,육류,meat,떡갈비,200,403.4,2.02,06012004,06,4.92,42.76,23.63,0.79,,,,,
구이류,육류구이,육류,meat,불고기,200,449.57,2.25,06012005,06,8.1,29.71,33.15,9.26,,,,,
구이류,육류구이,육류,meat,소곱창구이,150,275.96,1.84,06012006,06,7.07,22.33,17.59,1.67,,,,,
구이류,육류구이,육류,meat,소양념갈비구이,300,989.15,3.3,06012007,06,26.2,60.1,71.6,13.9,,,,,
구이류,육류구이,육류,meat,소불고기,100,179,1.79,06012008,06,15,13.5,15,12,,,,,
구이류,육류구이,육류,meat,양념왕갈비,150,480.81,3.21,06012009,06,13.7,27.1,35.3,6.8,,,,,
구이류,육류구이,육류,meat,햄버거스테이크,150,555.75,3.71,06012010,06,6.97,38.47,41.62,13.66,,,,,
구이류,육류구이,육류,meat,훈제오리,250,797.14,3.19,06012011,06,12.08,43.06,64.07,0.27,,,,,
구이류,육류구이,육류,meat,치킨데리야끼,340,707.64,2.08,06012012,06,51.71,56.23,30.65,0.39,,,,,
구이류,육류구이,육류,meat,치킨윙,200,386,1.93,06012013,06,44,48,26,5,,,,,
구이류,기타,채소류,vegetable,더덕구이,100,184,1.84,06013001,06,31.1,3.1,5.2,11.6,,,,,
구이류,기타,채소류,vegetable,양배추구이,100,100,1,06013002,06,30,3,5,10,,,,,
구이류,기타,채소류,vegetable,두부구이,65,91.12,1.4,06013003,06,2.85,7.02,5.74,0,,,,,
구이류,생선구이,어패류,seafood,삼치구이,200,355.16,1.78,06014001,06,2.89,42.83,19.14,0.43,,,,,
"전,부침류",어패류전,어패류,seafood,가자미전,150,230.28,1.54,07011001,07,6.92,25.76,11.07,0.31,,,,,
"전,부침류",어패류전,어패류,seafood,굴전,100,195,1.95,07011002,07,14.5,10.6,10.5,1.3,,,,,
"전,부침류",어패류전,어패류,seafood,동태전,150,268.05,1.79,07011003,07,10.54,22.64,15.04,0.22,,,,,
"전,부침류",어패류전,어패류,seafood,해물파전,150,256.14,1.71,07011004,07,27.43,8.25,12.6,1.23,,,,,
"전,부침류",육류전,육류,meat,동그랑땡,150,309.2,2.06,07012001,07,12.68,19.62,20,0.98,,,,,
"전,부침류",육류전,육류,meat,햄부침,100,244,2.44,07012002,07,11.3,11.3,17.1,1,,,,,
"전,부침류",육류전,육류,meat,육전,150,292,1.95,07012003,07,20.65,20.42,13.82,0,,,,,
"전,부침류",채소류전,채소류,vegetable,감자전,200,265.62,1.33,07013001,07,33.58,3.43,13.07,3.62,,,,,
"전,부침류",채소류전,채소류,vegetable,고추전,150,274.69,1.83,07013002,07,17.01,12.91,17.22,2.17,,,,,
"전,부침류",채소류전,채소류,vegetable,김치전,150,201.08,1.34,07013003,07,28.51,7.58,6.3,6.32,,,,,
"전,부침류",채소류전,채소류,vegetable,깻잎전,150,361.1,2.41,07013004,07,14.54,17.74,25.78,1.06,,,,,
"전,부침류",채소류전,채소류,vegetable,녹두빈대떡,100,207.94,2.08,07013005,07,20.93,7.95,10.27,0.1,,,,,
"전,부침류",채소류전,채소류,vegetable,미나리전,150,226.41,1.51,07013006,07,34.23,5.24,7.62,1.74,,,,,
"전,부침류",채소류전,채소류,vegetable,배추전,150,240.75,1.61,07013007,07,35.52,5.17,8.67,5.02,,,,,
"전,부침류",채소류전,채소류,vegetable,버섯전,150,240.69,1.6,07013008,07,16.19,10.52,14.87,2.74,,,,,
"전,부침류",채소류전,채소류,vegetable,야채전,100,194,1.94,07013010,07,21.6,5.4,9.5,2.4,,,,,
"전,부침류",채소류전,채소류,vegetable,파전,150,292.8,1.95,07013011,07,34.81,6.83,14.03,0.79,,,,,
"전,부침류",채소류전,채소류,vegetable,호박부침개,100,129,1.29,07013012,07,10.1,3.9,8.1,3.6,,,,,
"전,부침류",채소류전,채소류,vegetable,호박전,150,208.1,1.39,07013013,07,16.1,6.48,13.09,2.85,,,,,
"전,부침류",기타,육류,meat,달걀말이,100,193.49,1.93,07014001,07,1.45,17.21,13.21,0,,,,,
볶음류,어패류볶음,어패류,seafood,건새우볶음,20,60.83,3.04,08011001,08,1.08,8.31,2.59,0.81,,,,,
볶음류,어패류볶음,어패류,seafood,낙지볶음,200,182.69,0.91,08011002,08,17.2,11.53,7.53,15.81,,,,,
볶음류,어패류볶음,어패류,seafood,멸치볶음,50,138,2.76,08011003,08,6.81,19.72,3.54,5.8,,,,,
볶음류,어패류볶음,어패류,seafood,어묵볶음,140,275.24,1.97,08011004,08,34.06,11.78,10.21,8.84,,,,,
볶음류,어패류볶음,어패류,seafood,오징어볶음,200,255.56,1.28,08011005,08,14.86,19.69,13.04,3.85,,,,,
볶음류,어패류볶음,어패류,seafood,오징어채볶음,20,59.52,2.98,08011006,08,4.07,4.09,2.99,4.92,,,,,
볶음류,어패류볶음,어패류,seafood,주꾸미볶음,200,211.41,1.06,08011007,08,22.83,18.33,5.2,5.06,,,,,
볶음류,어패류볶음,어패류,seafood,해물볶음,400,419.06,1.05,08011008,08,32.2,38.2,15.3,7.4,,,,,
볶음류,채소류볶음,채소류,vegetable,감자볶음,100,100.18,1,08012001,08,15.24,1.62,6.02,1.74,90.00,16.93,1.8,6.69,1.93
볶음류,채소류볶음,채소류,vegetable,김치볶음,100,106.07,1.06,08012002,08,4.29,1.66,7.42,1.68,38.00,11.29,4.37,19.53,4.42
볶음류,채소류볶음,채소류,vegetable,깻잎나물볶음,200,206,1.03,08012003,08,14.65,8.10,5.70,1.50,80.00,36.63,20.25,14.25,3.75
볶음류,채소류볶음,채소류,vegetable,느타리버섯볶음,50,47.09,0.94,08012004,08,3.39,1.40,3.10,2.12,50.00,3.39,1.4,3.1,2.12
볶음류,채소류볶음,채소류,vegetable,두부김치,250,288.21,1.15,08012005,08,14.08,19.47,17.11,1.49,250.00,14.08,19.47,17.11,1.49
볶음류,채소류볶음,채소류,vegetable,머위나물볶음,150,108,0.72,08012006,08,7.60,3.50,7.00,1.80,150.00,7.6,3.5,7,1.8
볶음류,채소류볶음,채소류,vegetable,양송이버섯볶음,150,136,0.91,08012007,08,11.00,4.50,8.30,1.20,150.00,11,4.5,8.3,1.2
볶음류,채소류볶음,채소류,vegetable,표고버섯볶음,150,142,0.95,08012008,08,15.80,4.50,6.70,2.60,150.00,15.8,4.5,6.7,2.6
볶음류,채소류볶음,채소류,vegetable,고추잡채,200,256.77,1.28,08012009,08,26.17,10.99,12.01,2.09,200.00,26.17,10.99,12.01,2.09
볶음류,채소류볶음,채소류,vegetable,호박볶음,50,29.52,0.59,08012010,08,2.65,0.66,1.81,0.21,50.00,2.65,0.66,1.81,0.21
볶음류,"육류,난류볶음",육류,meat,돼지고기볶음,200,351,1.76,08013001,08,18.21,22.96,20.67,8.20,200.00,18.21,22.96,20.67,8.2
볶음류,"육류,난류볶음",육류,meat,돼지껍데기볶음,150,352,2.35,08013002,08,24.50,25.80,16.70,5.50,150.00,24.5,25.8,16.7,5.5
볶음류,"육류,난류볶음",육류,meat,소세지볶음,200,471,2.36,08013003,08,31.80,18.80,29.90,8.90,200.00,31.8,18.8,29.9,8.9
볶음류,"육류,난류볶음",육류,meat,순대볶음,400,582,1.46,08013004,08,76.70,20.70,21.30,5.40,400.00,76.7,20.7,21.3,5.4
